time,p
3.7719,9999.99999999978
3.772,9999.99999999977
3.7721,9999.99999999977
3.7722,9999.99999999979
3.7723,9999.99999999978
3.7724,9999.9999999998
3.7725,9999.99999999981
3.7726,9999.9999999998
3.7727,9999.99999999982
3.7728,9999.99999999984
3.7729,9999.99999999985
3.773,9999.99999999986
3.7731,9999.99999999987
3.7732,9999.99999999988
3.7733,9999.9999999999
3.7734,9999.99999999991
3.7735,9999.99999999992
3.7736,9999.99999999993
3.7737,9999.99999999994
3.7738,9999.99999999995
3.7739,9999.99999999996
3.774,9999.99999999997
3.7741,9999.99999999998
3.7742,9999.99999999999
3.7743,10000
3.7744,10000
3.7745,10000
3.7746,10000
3.7747,10000.0000000001
3.7748,10000.0000000001
3.7749,10000.0000000001
3.775,10000.0000000001
3.7751,10000.0000000001
3.7752,10000.0000000002
3.7753,10000.0000000002
3.7754,10000.0000000002
3.7755,10000.0000000002
3.7756,10000.0000000002
3.7757,10000.0000000002
3.7758,10000.0000000002
3.7759,10000.0000000002
3.776,10000.0000000002
3.7761,10000.0000000002
3.7762,10000.0000000002
3.7763,10000.0000000002
3.7764,10000.0000000002
3.7765,10000.0000000002
3.7766,10000.0000000002
3.7767,10000.0000000002
3.7768,10000.0000000002
3.7769,10000.0000000002
3.777,10000.0000000002
3.7771,10000.0000000002
3.7772,10000.0000000001
3.7773,10000.0000000001
3.7774,10000.0000000001
3.7775,10000.0000000001
3.7776,10000.0000000001
3.7777,10000.0000000001
3.7778,10000.0000000001
3.7779,10000.0000000001
3.778,10000
3.7781,10000
3.7782,10000
3.7783,10000
3.7784,10000
3.7785,9999.99999999999
3.7786,9999.99999999998
3.7787,9999.99999999996
3.7788,9999.99999999995
3.7789,9999.99999999993
3.779,9999.99999999991
3.7791,9999.99999999989
3.7792,9999.99999999987
3.7793,9999.99999999985
3.7794,9999.99999999983
3.7795,9999.9999999998
3.7796,9999.99999999981
3.7797,9999.99999999979
3.7798,9999.99999999979
3.7799,9999.99999999979
3.78,9999.99999999977
3.7801,9999.99999999977
3.7802,9999.99999999977
3.7803,9999.99999999976
3.7804,9999.99999999978
3.7805,9999.99999999977
3.7806,9999.99999999979
3.7807,9999.99999999978
3.7808,9999.9999999998
3.7809,9999.99999999981
3.781,9999.99999999983
3.7811,9999.99999999981
3.7812,9999.99999999983
3.7813,9999.99999999984
3.7814,9999.99999999985
3.7815,9999.99999999987
3.7816,9999.99999999988
3.7817,9999.99999999989
3.7818,9999.9999999999
3.7819,9999.99999999991
3.782,9999.99999999992
3.7821,9999.99999999993
3.7822,9999.99999999995
3.7823,9999.99999999996
3.7824,9999.99999999997
3.7825,9999.99999999998
3.7826,9999.99999999999
3.7827,10000
3.7828,10000
3.7829,10000
3.783,10000
3.7831,10000.0000000001
3.7832,10000.0000000001
3.7833,10000.0000000001
3.7834,10000.0000000001
3.7835,10000.0000000001
3.7836,10000.0000000002
3.7837,10000.0000000002
3.7838,10000.0000000002
3.7839,10000.0000000002
3.784,10000.0000000002
3.7841,10000.0000000002
3.7842,10000.0000000002
3.7843,10000.0000000002
3.7844,10000.0000000002
3.7845,10000.0000000002
3.7846,10000.0000000002
3.7847,10000.0000000002
3.7848,10000.0000000002
