All calculations,WEC
"Time in s","Power Phasor, Reactive Part in Mvar"
11.0389176096,0.0043934082
11.0390000000,0.0046105848
11.0390505000,0.0018858630
11.0391176096,0.0020904818
11.0392176096,0.0023936584
11.0393176096,0.0026931907
11.0394176096,0.0029885457
11.0395176096,0.0032800854
11.0396176096,0.0035670762
11.0397176096,0.0038482664
11.0398176096,0.0041236821
11.0399176096,0.0043934093
11.0400000000,0.0046105859
11.0400505000,0.0018858635
11.0401176096,0.0020904823
11.0402176096,0.0023936590
11.0403176096,0.0026931914
11.0404176096,0.0029885464
11.0405176096,0.0032800862
11.0406176096,0.0035670771
11.0407176096,0.0038482673
11.0408176096,0.0041236831
11.0409176096,0.0043934104
11.0410000000,0.0046105871
11.0410505000,0.0018858639
11.0411176096,0.0020904828
11.0412176096,0.0023936596
11.0413176096,0.0026931920
11.0414176096,0.0029885471
11.0415176096,0.0032800870
11.0416176096,0.0035670780
11.0417176096,0.0038482683
11.0418176096,0.0041236841
11.0419176096,0.0043934114
11.0420000000,0.0046105882
11.0420505000,0.0018858643
11.0421176096,0.0020904833
11.0422176096,0.0023936601
11.0423176096,0.0026931927
11.0424176096,0.0029885479
11.0425176096,0.0032800878
11.0426176096,0.0035670789
11.0427176096,0.0038482692
11.0428176096,0.0041236851
11.0429176096,0.0043934125
11.0430000000,0.0046105893
11.0430505000,0.0018858647
11.0431176096,0.0020904837
11.0432176096,0.0023936607
11.0433176096,0.0026931933
11.0434176096,0.0029885486
11.0435176096,0.0032800886
11.0436176096,0.0035670797
11.0437176096,0.0038482701
11.0438176096,0.0041236861
11.0439176096,0.0043934135
11.0440000000,0.0046105904
11.0440505000,0.0018858651
11.0441176096,0.0020904842
11.0442176096,0.0023936612
11.0443176096,0.0026931939
11.0444176096,0.0029885493
11.0445176096,0.0032800894
11.0446176096,0.0035670806
11.0447176096,0.0038482711
11.0448176096,0.0041236871
11.0449176096,0.0043934146
11.0450000000,0.0046105915
11.0450505000,0.0018858655
11.0451176096,0.0020904847
11.0452176096,0.0023936618
11.0453176096,0.0026931946
11.0454176096,0.0029885500
11.0455176096,0.0032800902
11.0456176096,0.0035670815
11.0457176096,0.0038482720
11.0458176096,0.0041236881
11.0459176096,0.0043934157
11.0460000000,0.0046105926
11.0460505000,0.0018858660
11.0461176096,0.0020904852
11.0462176096,0.0023936624
11.0463176096,0.0026931952
