All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0069176096,0.9558543409,-0.0693020085,-0.8865523324
11.0070000000,0.9404425511,-0.0356273437,-0.9048152074
11.0070505000,0.9303465582,-0.0150247203,-0.9153218379
11.0071176096,0.9164738370,0.0124034339,-0.9288772708
11.0072176096,0.8949311076,0.0532928438,-0.9482239514
11.0073176096,0.8721250445,0.0940760161,-0.9662010606
11.0074176096,0.8480730002,0.1346862561,-0.9827592563
11.0075176096,0.8227895260,0.1751622226,-0.9979517486
11.0076176096,0.7963036219,0.2154108124,-1.0117144343
11.0077176096,0.7686221319,0.2552839666,-1.0239060985
11.0078176096,0.7397511212,0.2947832279,-1.0345343491
11.0079176096,0.7097474386,0.3339042716,-1.0436517101
11.0080000000,0.6842316606,0.3657470320,-1.0499786925
11.0080505000,0.6681465012,0.3849406421,-1.0530871433
11.0081176096,0.6464251987,0.4103062700,-1.0567314686
11.0082176096,0.6134307586,0.4477485297,-1.0611792883
11.0083176096,0.5795837674,0.4845232694,-1.0641070368
11.0084176096,0.5449253931,0.5205617296,-1.0654871227
11.0085176096,0.5094492751,0.5559144025,-1.0653636777
11.0086176096,0.4732162799,0.5904873669,-1.0637036468
11.0087176096,0.4362952695,0.6241142887,-1.0604095582
11.0088176096,0.3986898909,0.6567995530,-1.0554894440
11.0089176096,0.3604424438,0.6885627861,-1.0490052299
11.0090000000,0.3285326126,0.7139437061,-1.0424763187
11.0090505000,0.3087970334,0.7289375512,-1.0377345846
11.0091176096,0.2823853803,0.7485524880,-1.0309378684
11.0092176096,0.2427365529,0.7771034872,-1.0198400401
11.0093176096,0.2027699198,0.8045227380,-1.0072926578
11.0094176096,0.1625444790,0.8307494142,-0.9932938931
11.0095176096,0.1220338830,0.8558384995,-0.9778723825
11.0096176096,0.0813220144,0.8797089110,-0.9610309255
11.0097176096,0.0405297413,0.9022002239,-0.9427299651
11.0098176096,-0.0003422380,0.9233190282,-0.9229767902
11.0099176096,-0.0412723227,0.9431060477,-0.9018337250
11.0100000000,-0.0749365582,0.9583347156,-0.8833981574
11.0100505000,-0.0954530275,0.9669486733,-0.8714956458
11.0101176096,-0.1227148068,0.9779608835,-0.8552460766
11.0102176096,-0.1632531249,0.9934692694,-0.8302161444
11.0103176096,-0.2035282912,1.0075462317,-0.8040179405
11.0104176096,-0.2434720562,1.0201477211,-0.7766756650
11.0105176096,-0.2831269230,1.0313252189,-0.7481982959
11.0106176096,-0.3223981891,1.0410222700,-0.7186240809
11.0107176096,-0.3611305549,1.0491076848,-0.6879771299
11.0108176096,-0.3993263718,1.0555893002,-0.6562629284
11.0109176096,-0.4369878792,1.0605230162,-0.6235351370
11.0110000000,-0.4675117527,1.0633851343,-0.5958733817
11.0110505000,-0.4858260244,1.0643667038,-0.5785406794
11.0111176096,-0.5099740757,1.0651749698,-0.5552008942
11.0112176096,-0.5455076233,1.0653857593,-0.5198781359
11.0113176096,-0.5802353209,1.0640735775,-0.4838382566
11.0114176096,-0.6140895906,1.0612175571,-0.4471279665
11.0115176096,-0.6471229113,1.0568581913,-0.4097352801
11.0116176096,-0.6792435301,1.0509718613,-0.3717283312
11.0117176096,-0.7102842967,1.0434756875,-0.3331913908
11.0118176096,-0.7402502704,1.0343776144,-0.2941273441
11.0119176096,-0.7691672050,1.0237405909,-0.2545733859
11.0120000000,-0.7921125324,1.0138199458,-0.2217074134
11.0120505000,-0.8055617018,1.0070263686,-0.2014646668
11.0121176096,-0.8230848842,0.9975131174,-0.1744282332
11.0122176096,-0.8484470602,0.9823955846,-0.1339485244
11.0123176096,-0.8725778550,0.9658849720,-0.0933071170
11.0124176096,-0.8954201890,0.9479866285,-0.0525664394
11.0125176096,-0.9170288864,0.9287241718,-0.0116952853
11.0126176096,-0.9373284851,0.9081102538,0.0292182313
11.0127176096,-0.9561642869,0.8861223558,0.0700419311
11.0128176096,-0.9735433235,0.8627673750,0.1107759485
11.0129176096,-0.9895111186,0.8381061565,0.1514049620
11.0130000000,-1.0015416106,0.8168451458,0.1846964647
11.0130505000,-1.0081701434,0.8032641690,0.2049059744
11.0131176096,-1.0165205524,0.7848125757,0.2317079766
