All calculations,WEC
"Time in s","Power-Phasor, Active Power in MW"
11.0277176096,0.0072548485
11.0278176096,0.0071020757
11.0279176096,0.0069386069
11.0280000000,0.0067961096
11.0280505000,0.0079909819
11.0281176096,0.0079381813
11.0282176096,0.0078520332
11.0283176096,0.0077547251
11.0284176096,0.0076462438
11.0285176096,0.0075268093
11.0286176096,0.0073964448
11.0287176096,0.0072548480
11.0288176096,0.0071020752
11.0289176096,0.0069386062
11.0290000000,0.0067961089
11.0290505000,0.0079909818
11.0291176096,0.0079381812
11.0292176096,0.0078520331
11.0293176096,0.0077547248
11.0294176096,0.0076462435
11.0295176096,0.0075268090
11.0296176096,0.0073964444
11.0297176096,0.0072548475
11.0298176096,0.0071020746
11.0299176096,0.0069386056
11.0300000000,0.0067961082
11.0300505000,0.0079909817
11.0301176096,0.0079381811
11.0302176096,0.0078520329
11.0303176096,0.0077547247
11.0304176096,0.0076462433
11.0305176096,0.0075268087
11.0306176096,0.0073964440
11.0307176096,0.0072548470
11.0308176096,0.0071020740
11.0309176096,0.0069386049
11.0310000000,0.0067961074
11.0310505000,0.0079909816
11.0311176096,0.0079381810
11.0312176096,0.0078520328
11.0313176096,0.0077547244
11.0314176096,0.0076462430
11.0315176096,0.0075268083
11.0316176096,0.0073964436
11.0317176096,0.0072548466
11.0318176096,0.0071020735
11.0319176096,0.0069386043
11.0320000000,0.0067961067
11.0320505000,0.0079909816
11.0321176096,0.0079381809
11.0322176096,0.0078520326
11.0323176096,0.0077547243
11.0324176096,0.0076462428
11.0325176096,0.0075268080
11.0326176096,0.0073964432
11.0327176096,0.0072548461
11.0328176096,0.0071020730
11.0329176096,0.0069386037
11.0330000000,0.0067961060
11.0330505000,0.0079909815
11.0331176096,0.0079381808
11.0332176096,0.0078520325
11.0333176096,0.0077547241
11.0334176096,0.0076462425
11.0335176096,0.0075268077
11.0336176096,0.0073964428
11.0337176096,0.0072548457
11.0338176096,0.0071020724
11.0339176096,0.0069386030
11.0340000000,0.0067961053
11.0340505000,0.0079909814
11.0341176096,0.0079381807
11.0342176096,0.0078520324
11.0343176096,0.0077547239
11.0344176096,0.0076462423
11.0345176096,0.0075268074
11.0346176096,0.0073964424
11.0347176096,0.0072548452
11.0348176096,0.0071020719
11.0349176096,0.0069386024
11.0350000000,0.0067961046
11.0350505000,0.0079909814
11.0351176096,0.0079381806
11.0352176096,0.0078520322
11.0353176096,0.0077547237
11.0354176096,0.0076462420
11.0355176096,0.0075268071
11.0356176096,0.0073964420
11.0357176096,0.0072548447
11.0358176096,0.0071020713
11.0359176096,0.0069386017
11.0360000000,0.0067961038
11.0360505000,0.0079909813
11.0361176096,0.0079381805
11.0362176096,0.0078520321
11.0363176096,0.0077547235
11.0364176096,0.0076462417
11.0365176096,0.0075268067
11.0366176096,0.0073964416
11.0367176096,0.0072548442
11.0368176096,0.0071020707
11.0369176096,0.0069386011
11.0370000000,0.0067961031
