time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.078,0.0068,0.0046,-0.9123,0.9339,-0.0217,-0.034656816238,0.045647499221,-0.010990682983,6.8,4.6
11.079,0.0068,0.0046,-1.0525,0.6736,0.3789,-0.044377555688,0.03721407456,0.007163481128,6.8,4.6
11.08,0.0068,0.0046,-1.0396,0.3152,0.7244,-0.047645535099,0.02336956584,0.024275969259,6.8,4.6
11.081,0.0068,0.0046,-0.8756,-0.0889,0.9645,-0.043985594223,0.006127053936,0.037858540287,6.8,4.6
11.082,0.0068,0.0046,-0.5843,-0.4801,1.0644,-0.033929930156,-0.012006298099,0.045936228255,6.8,4.6
11.083,0.0068,0.0046,-0.208,-0.8015,1.0096,-0.018940710951,-0.028393800913,0.047334511863,6.8,4.6
11.084,0.0068,0.0046,0.1985,-1.0064,0.8079,-0.001197466582,-0.040652628124,0.041850094706,6.8,4.6
11.085,0.0068,0.0046,0.5762,-1.0649,0.4887,0.01671982838,-0.047000292,0.03028046362,6.8,4.6
11.086,0.0068,0.0046,0.8701,-0.9686,0.0985,0.032205898262,-0.046513825696,0.014307927434,6.8,4.6
11.087,0.0068,0.0046,1.0374,-0.7315,-0.306,0.043008988149,-0.03926398624,-0.003745001909,6.8,4.6
11.088,0.0068,0.0046,1.054,-0.3879,-0.666,0.047558281541,-0.026304964099,-0.021253317442,6.8,4.6
11.089,0.0068,0.0046,0.9172,0.012,-0.9292,0.045192304799,-0.009521095482,-0.035671209317,6.8,4.6
11.09,0.0068,0.0046,0.6471,0.4102,-1.0573,0.036255107354,0.008647133039,-0.044902240393,6.8,4.6
11.091,0.0068,0.0046,0.2829,0.7487,-1.0317,0.022046232819,0.025557947067,-0.047604179887,6.8,4.6
11.092,0.0068,0.0046,-0.1224,0.9784,-0.856,0.004631755428,0.038752414937,-0.043384170365,6.8,4.6
11.093,0.0068,0.0046,-0.51,1.0658,-0.5559,-0.013456141476,0.04631199119,-0.032855849714,6.8,4.6
11.094,0.0068,0.0046,-0.8234,0.9982,-0.1749,-0.029587361886,0.047137484264,-0.017550122378,6.8,4.6
11.095,0.0068,0.0046,-1.017,0.7855,0.2315,-0.04141633022,0.041108884101,0.000307446119,6.8,4.6
11.096,0.0068,0.0046,-1.0628,0.4586,0.6042,-0.04722305205,0.02910281001,0.01812024204,6.8,4.6
