All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0260,0.0791,0.8811,-0.9602
11.0261,0.0585,0.8923,-0.9508
11.0261,0.0311,0.9069,-0.9379
11.0262,-0.0098,0.9277,-0.9178
11.0263,-0.0507,0.9471,-0.8964
11.0264,-0.0915,0.9652,-0.8737
11.0265,-0.1321,0.9819,-0.8498
11.0266,-0.1727,0.9972,-0.8246
11.0267,-0.2129,1.0110,-0.7981
11.0268,-0.2528,1.0232,-0.7705
11.0269,-0.2923,1.0340,-0.7416
11.0270,-0.3246,1.0416,-0.7170
11.0271,-0.3441,1.0456,-0.7015
11.0271,-0.3699,1.0503,-0.6805
11.0272,-0.4080,1.0564,-0.6485
11.0273,-0.4454,1.0610,-0.6156
11.0274,-0.4822,1.0641,-0.5818
11.0275,-0.5184,1.0656,-0.5472
11.0276,-0.5538,1.0656,-0.5118
11.0277,-0.5884,1.0640,-0.4756
11.0278,-0.6220,1.0607,-0.4387
11.0279,-0.6548,1.0559,-0.4011
11.0280,-0.6811,1.0507,-0.3696
11.0281,-0.6967,1.0468,-0.3502
11.0281,-0.7170,1.0411,-0.3241
11.0282,-0.7468,1.0316,-0.2849
11.0283,-0.7754,1.0207,-0.2453
11.0284,-0.8029,1.0082,-0.2054
11.0285,-0.8293,0.9944,-0.1651
11.0286,-0.8545,0.9791,-0.1246
11.0287,-0.8783,0.9623,-0.0839
11.0288,-0.9009,0.9440,-0.0431
11.0289,-0.9221,0.9243,-0.0022
11.0290,-0.9385,0.9070,0.0315
11.0291,-0.9479,0.8958,0.0521
11.0291,-0.9599,0.8805,0.0795
11.0292,-0.9770,0.8568,0.1202
11.0293,-0.9926,0.8319,0.1607
11.0294,-1.0068,0.8058,0.2010
11.0295,-1.0196,0.7786,0.2410
11.0296,-1.0309,0.7502,0.2807
11.0297,-1.0406,0.7206,0.3199
11.0298,-1.0487,0.6900,0.3587
11.0299,-1.0553,0.6583,0.3970
11.0300,-1.0595,0.6314,0.4281
11.0301,-1.0613,0.6146,0.4468
11.0301,-1.0633,0.5918,0.4714
11.0302,-1.0651,0.5574,0.5078
11.0303,-1.0655,0.5222,0.5433
11.0304,-1.0643,0.4862,0.5781
11.0305,-1.0616,0.4495,0.6121
11.0306,-1.0574,0.4122,0.6452
11.0307,-1.0515,0.3742,0.6773
11.0308,-1.0441,0.3357,0.7084
11.0309,-1.0350,0.2966,0.7385
11.0310,-1.0264,0.2640,0.7624
11.0311,-1.0205,0.2440,0.7765
11.0311,-1.0120,0.2172,0.7948
11.0312,-0.9984,0.1769,0.8215
11.0313,-0.9835,0.1365,0.8470
11.0314,-0.9671,0.0959,0.8712
11.0315,-0.9493,0.0551,0.8942
11.0316,-0.9301,0.0143,0.9159
11.0317,-0.9096,-0.0266,0.9362
11.0318,-0.8876,-0.0675,0.9551
11.0319,-0.8643,-0.1083,0.9726
11.0320,-0.8441,-0.1417,0.9859
11.0321,-0.8312,-0.1621,0.9933
11.0321,-0.8136,-0.1891,1.0027
11.0322,-0.7866,-0.2292,1.0158
11.0323,-0.7584,-0.2690,1.0274
11.0324,-0.7292,-0.3083,1.0376
11.0325,-0.6990,-0.3473,1.0462
11.0326,-0.6677,-0.3857,1.0534
11.0327,-0.6354,-0.4236,1.0590
11.0328,-0.6021,-0.4608,1.0629
11.0329,-0.5679,-0.4974,1.0652
11.0330,-0.5391,-0.5269,1.0660
11.0331,-0.5211,-0.5446,1.0657
11.0331,-0.4969,-0.5679,1.0648
11.0332,-0.4603,-0.6021,1.0624
11.0333,-0.4231,-0.6354,1.0585
11.0334,-0.3854,-0.6677,1.0531
11.0335,-0.3470,-0.6992,1.0462
11.0336,-0.3081,-0.7296,1.0378
11.0337,-0.2688,-0.7590,1.0277
11.0338,-0.2290,-0.7871,1.0162
11.0339,-0.1889,-0.8141,1.0030
11.0340,-0.1556,-0.8355,0.9911
11.0341,-0.1352,-0.8479,0.9831
11.0341,-0.1079,-0.8641,0.9720
11.0342,-0.0671,-0.8874,0.9545
11.0343,-0.0263,-0.9094,0.9357
11.0344,0.0146,-0.9301,0.9155
11.0345,0.0554,-0.9494,0.8940
11.0346,0.0963,-0.9675,0.8712
11.0347,0.1369,-0.9840,0.8471
11.0348,0.1773,-0.9990,0.8217
11.0349,0.2176,-1.0126,0.7950
11.0350,0.2504,-1.0226,0.7721
11.0351,0.2704,-1.0280,0.7576
11.0351,0.2967,-1.0347,0.7379
11.0352,0.3358,-1.0437,0.7079
11.0353,0.3744,-1.0512,0.6768
11.0354,0.4123,-1.0572,0.6448
11.0355,0.4498,-1.0616,0.6118
11.0356,0.4866,-1.0646,0.5780
11.0357,0.5227,-1.0659,0.5433
11.0358,0.5579,-1.0656,0.5077
11.0359,0.5924,-1.0637,0.4714
11.0360,0.6201,-1.0610,0.4409
11.0361,0.6366,-1.0585,0.4219
11.0361,0.6583,-1.0548,0.3965
11.0362,0.6899,-1.0482,0.3583
11.0363,0.7206,-1.0401,0.3195
11.0364,0.7502,-1.0305,0.2803
11.0365,0.7788,-1.0195,0.2407
11.0366,0.8062,-1.0070,0.2007
11.0367,0.8324,-0.9929,0.1605
11.0368,0.8574,-0.9773,0.1199
11.0369,0.8811,-0.9603,0.0792
11.0370,0.8996,-0.9451,0.0455
11.0371,0.9103,-0.9352,0.0249
11.0371,0.9240,-0.9215,-0.0025
11.0372,0.9437,-0.9003,-0.0434
11.0373,0.9620,-0.8778,-0.0842
11.0374,0.9790,-0.8541,-0.1249
11.0375,0.9945,-0.8291,-0.1654
11.0376,1.0086,-0.8029,-0.2057
11.0377,1.0212,-0.7755,-0.2457
11.0378,1.0322,-0.7469,-0.2853
11.0379,1.0417,-0.7171,-0.3245
11.0380,1.0483,-0.6918,-0.3565
11.0381,1.0516,-0.6759,-0.3757
11.0381,1.0555,-0.6543,-0.4012
11.0382,1.0603,-0.6215,-0.4388
11.0383,1.0636,-0.5879,-0.4757
11.0384,1.0654,-0.5534,-0.5119
11.0385,1.0656,-0.5181,-0.5475
11.0386,1.0644,-0.4821,-0.5823
11.0387,1.0614,-0.4453,-0.6161
11.0388,1.0569,-0.4079,-0.6490
11.0389,1.0508,-0.3698,-0.6810
11.0390,1.0446,-0.3379,-0.7066
11.0391,1.0400,-0.3183,-0.7217
11.0391,1.0335,-0.2919,-0.7415
11.0392,1.0227,-0.2524,-0.7704
11.0393,1.0105,-0.2125,-0.7981
11.0394,0.9969,-0.1723,-0.8246
11.0395,0.9818,-0.1319,-0.8500
11.0396,0.9653,-0.0912,-0.8741
11.0397,0.9474,-0.0504,-0.8970
11.0398,0.9279,-0.0095,-0.9184
11.0399,0.9071,0.0314,-0.9385
11.0400,0.8889,0.0651,-0.9540
11.0401,0.8772,0.0856,-0.9628
11.0401,0.8612,0.1129,-0.9741
11.0402,0.8364,0.1535,-0.9899
11.0403,0.8105,0.1938,-1.0044
11.0404,0.7835,0.2339,-1.0173
11.0405,0.7552,0.2736,-1.0289
11.0406,0.7259,0.3130,-1.0389
11.0407,0.6955,0.3518,-1.0474
11.0408,0.6641,0.3902,-1.0542
11.0409,0.6316,0.4280,-1.0595
11.0410,0.6041,0.4586,-1.0627
11.0411,0.5868,0.4770,-1.0639
11.0411,0.5636,0.5013,-1.0650
11.0412,0.5285,0.5370,-1.0655
11.0413,0.4926,0.5720,-1.0646
11.0414,0.4561,0.6060,-1.0621
11.0415,0.4189,0.6393,-1.0581
11.0416,0.3810,0.6716,-1.0526
11.0417,0.3426,0.7029,-1.0455
11.0418,0.3036,0.7332,-1.0368
11.0419,0.2642,0.7623,-1.0265
11.0420,0.2314,0.7855,-1.0169
11.0421,0.2112,0.7991,-1.0103
11.0421,0.1842,0.8168,-1.0010
11.0422,0.1437,0.8425,-0.9862
11.0423,0.1031,0.8669,-0.9701
11.0424,0.0624,0.8901,-0.9525
11.0425,0.0216,0.9120,-0.9336
11.0426,-0.0193,0.9326,-0.9133
11.0427,-0.0602,0.9518,-0.8916
