All calculations,WEC
"Time in s","Power Phasor, Reactive Part in Mvar"
10.0070000000,0.0046081312
10.0070505000,0.0018840834
10.0071176096,0.0020886357
10.0072176096,0.0023917187
10.0073176096,0.0026911622
10.0074176096,0.0029864327
10.0075176096,0.0032778961
10.0076176096,0.0035648182
10.0077176096,0.0038459449
10.0078176096,0.0041213050
10.0079176096,0.0043909875
10.0080000000,0.0046081336
10.0080505000,0.0018840849
10.0081176096,0.0020886373
10.0082176096,0.0023917204
10.0083176096,0.0026911640
10.0084176096,0.0029864346
10.0085176096,0.0032778981
10.0086176096,0.0035648204
10.0087176096,0.0038459471
10.0088176096,0.0041213073
10.0089176096,0.0043909899
10.0090000000,0.0046081360
10.0090505000,0.0018840864
10.0091176096,0.0020886389
10.0092176096,0.0023917222
10.0093176096,0.0026911659
10.0094176096,0.0029864366
10.0095176096,0.0032779002
10.0096176096,0.0035648225
10.0097176096,0.0038459493
10.0098176096,0.0041213096
10.0099176096,0.0043909923
10.0100000000,0.0046081385
10.0100505000,0.0018840879
10.0101176096,0.0020886405
10.0102176096,0.0023917239
10.0103176096,0.0026911677
10.0104176096,0.0029864386
10.0105176096,0.0032779023
10.0106176096,0.0035648247
10.0107176096,0.0038459516
10.0108176096,0.0041213120
10.0109176096,0.0043909947
10.0110000000,0.0046081409
10.0110505000,0.0018840895
10.0111176096,0.0020886421
10.0112176096,0.0023917256
10.0113176096,0.0026911696
10.0114176096,0.0029864405
10.0115176096,0.0032779043
10.0116176096,0.0035648269
10.0117176096,0.0038459538
10.0118176096,0.0041213143
10.0119176096,0.0043909971
10.0120000000,0.0046081434
10.0120505000,0.0018840910
10.0121176096,0.0020886437
10.0122176096,0.0023917274
10.0123176096,0.0026911714
10.0124176096,0.0029864425
10.0125176096,0.0032779064
10.0126176096,0.0035648290
10.0127176096,0.0038459561
10.0128176096,0.0041213166
10.0129176096,0.0043909995
10.0130000000,0.0046081458
10.0130505000,0.0018840926
10.0131176096,0.0020886454
10.0132176096,0.0023917291
10.0133176096,0.0026911733
10.0134176096,0.0029864445
10.0135176096,0.0032779085
10.0136176096,0.0035648312
10.0137176096,0.0038459584
10.0138176096,0.0041213190
10.0139176096,0.0043910019
10.0140000000,0.0046081483
10.0140505000,0.0018840941
10.0141176096,0.0020886470
10.0142176096,0.0023917309
10.0143176096,0.0026911752
10.0144176096,0.0029864465
10.0145176096,0.0032779106
10.0146176096,0.0035648334
10.0147176096,0.0038459606
10.0148176096,0.0041213213
10.0149176096,0.0043910043
10.0150000000,0.0046081507
10.0150505000,0.0018840957
10.0151176096,0.0020886487
10.0152176096,0.0023917326
10.0153176096,0.0026911770
10.0154176096,0.0029864484
10.0155176096,0.0032779127
10.0156176096,0.0035648356
10.0157176096,0.0038459629
10.0158176096,0.0041213237
10.0159176096,0.0043910067
10.0160000000,0.0046081532
10.0160505000,0.0018840972
10.0161176096,0.0020886503
10.0162176096,0.0023917344
10.0163176096,0.0026911789
10.0164176096,0.0029864504
